Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,512,578,587,536,405,364,330,263,209,174,147,-1.5%,-3.9%
United States,481,541,546,499,372,332,303,243,193,161,138,-1.7%,-3.8%
S. & Cent. America,19,21,21,28,36,33,33,34,35,36,36,2.5%,0.4%
Brazil,12,13,13,14,18,17,18,18,19,19,18,1.5%,0.4%
Europe ,434,397,391,366,340,321,285,234,196,172,155,-1.4%,-3.1%
EU,363,321,316,280,262,234,199,151,116,94,79,-2.0%,-4.6%
CIS,149,126,124,126,130,132,125,117,110,106,102,-0.6%,-1.1%
Russia,119,106,95,91,92,92,88,79,72,65,59,-1.2%,-1.9%
Middle East,5,8,10,10,11,8,10,13,17,20,23,2.2%,4.5%
Africa,79,83,89,100,95,93,90,96,105,119,136,0.7%,1.7%
Asia Pacific,1025,1144,1883,2439,2748,2780,2905,2954,2975,3002,3027,4.6%,0.4%
China,665,706,1325,1749,1914,1893,1958,1886,1737,1574,1410,4.9%,-1.3%
India,140,164,211,290,395,424,467,555,658,784,917,5.2%,3.4%
Other,219,274,347,399,439,463,481,513,580,643,700,3.5%,1.8%
World,2224,2356,3106,3606,3765,3731,3779,3710,3647,3628,3625,2.4%,-0.1%
OECD,1102,1163,1201,1145,995,935,857,723,622,554,503,-0.7%,-2.7%
Non-OECD,1122,1194,1904,2461,2770,2796,2922,2987,3025,3074,3123,4.2%,0.5%
