Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,706,754,734,803,924,943,1036,1115,1165,1215,1249,1.32,1.23
United States,598,628,595,648,744,739,819,876,908,940,957,0.97,1.13
S. & Cent. America,78,98,127,150,179,173,182,211,241,271,300,3.73,2.41
Brazil,5,10,20,28,44,38,43,52,62,72,82,9.39,3.37
Europe ,476,558,628,622,506,561,585,593,583,583,585,0.75,0.18
EU,389,460,518,521,418,467,483,482,465,459,457,0.84,-0.09
CIS,456,453,503,534,538,545,548,557,570,588,597,0.81,0.4
Russia,372,366,400,423,410,425,431,439,448,461,464,0.6,0.39
Middle East,138,186,271,386,487,536,554,655,736,790,831,6.38,1.92
Africa,46,56,83,103,130,142,158,185,226,276,336,5.24,3.83
Asia Pacific,213,298,408,578,710,770,869,1029,1180,1330,1472,6.02,2.86
China,18,25,47,109,195,240,309,409,504,582,641,12.54,4.35
India,18,25,34,59,46,54,66,88,115,148,185,5.12,5.49
Other,177,248,326,410,469,475,495,531,561,600,646,4.6,1.35
World,2112,2402,2754,3176,3474,3670,3933,4345,4700,5052,5370,2.54,1.67
OECD,1276,1434,1503,1607,1642,1717,1835,1925,1970,2029,2072,1.36,0.82
Non-OECD,836,968,1251,1568,1833,1953,2098,2420,2730,3023,3298,3.93,2.3
