Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,184,198,209,214,215,216,212,190,184,138,124,0.73,-2.39
United States,160,180,186,192,190,192,188,172,164,119,104,0.81,-2.62
S. & Cent. America,2,3,4,5,5,5,6,6,9,11,14,3.86,4.73
Brazil,1,1,2,3,3,4,3,3,6,8,10,8.7,4.49
Europe ,221,237,251,234,219,212,224,202,202,172,132,-0.19,-2.05
EU,200,214,226,207,194,188,197,175,172,140,102,-0.27,-2.63
CIS,23,30,34,39,45,47,54,57,59,61,69,3.34,1.74
Russia,23,30,34,39,44,46,52,52,54,55,62,3.3,1.31
Middle East,0,0,0,0,1,2,4,11,13,25,38,0,14.73
Africa,3,3,3,3,3,4,3,3,3,4,8,1.52,3.61
Asia Pacific,93,113,125,132,95,112,170,227,270,327,385,0.85,5.53
China,3,4,12,17,39,56,90,121,166,223,284,14.42,7.29
India,2,4,4,5,9,8,11,16,23,33,43,7.51,7.36
Other,88,106,109,110,48,47,70,91,81,72,58,-2.81,0.91
World,526,584,627,626,583,596,673,696,739,739,770,0.58,1.12
OECD,485,532,560,547,473,468,496,470,456,369,298,-0.17,-1.95
Non-OECD,40,52,66,79,110,128,177,226,283,369,472,5.43,5.83
