Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,21,24,25,23,23,23,24,23,22,21,19,0.38,-0.74
United States,18,20,21,18,18,19,19,19,18,17,15,0.28,-0.85
S. & Cent. America,4,5,5,6,6,6,6,7,7,7,8,1.73,1.02
Brazil,2,2,2,2,3,2,3,3,3,3,3,2.11,1.41
Europe ,16,16,17,15,14,15,14,14,13,12,10,-0.29,-1.59
EU,14,15,15,14,12,13,12,12,10,9,8,-0.44,-1.99
CIS,4,3,3,4,4,4,4,4,5,5,5,0.24,0.76
Russia,3,3,3,3,3,3,3,3,3,3,4,0.24,0.39
Middle East,5,5,6,8,9,9,10,10,11,11,11,3.25,0.74
Africa,2,2,3,3,4,4,4,5,6,6,7,2.85,2.52
Asia Pacific,18,21,25,28,32,34,36,39,40,42,43,2.93,1
China,3,5,7,9,12,13,14,15,15,15,15,6.27,0.74
India,2,2,3,3,4,5,5,6,7,8,9,5.06,3.07
Other,13,14,15,15,16,17,17,18,18,19,19,1.11,0.45
World,70,76,84,87,93,96,99,102,103,104,104,1.43,0.34
OECD,46,49,50,46,45,46,46,45,42,39,36,0.02,-1.03
Non-OECD,24,28,34,41,48,50,53,57,61,64,67,3.31,1.32
