Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,21,23,33,74,119,148,155,229,292,380,455,9.27,5.01
United States,18,20,29,67,105,132,134,198,254,331,394,9.49,4.88
S. & Cent. America,9,9,14,31,47,55,62,89,117,149,183,8.39,5.34
Brazil,8,8,12,25,35,41,45,62,78,95,112,7.6,4.5
Europe ,7,15,38,82,156,176,220,295,342,409,493,15.75,4.57
EU,7,15,37,80,149,166,203,267,305,360,429,15.68,4.21
CIS,0,0,0,0,0,0,3,10,16,23,29,17.69,19.54
Russia,0,0,0,0,0,0,3,7,10,14,18,14.67,19.87
Middle East,0,0,0,0,1,1,18,48,81,104,132,48.47,22.05
Africa,0,1,1,1,4,6,15,36,65,103,161,15.98,15.74
Asia Pacific,7,11,18,45,123,184,328,525,761,1022,1295,15.92,8.85
China,1,1,2,17,67,109,205,319,454,587,711,24.86,8.5
India,0,1,2,8,16,22,45,89,143,218,306,22.86,12.07
Other,6,9,13,20,40,53,77,116,163,217,278,10.3,7.47
World,45,59,103,234,449,571,802,1231,1674,2189,2748,12.26,7.07
OECD,32,44,79,169,300,359,424,593,728,912,1108,11.59,5.02
Non-OECD,13,16,25,66,149,212,378,638,946,1277,1640,13.67,9.3
