Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,0,0,0,1,10,18,22,55,84,127,170,25.8%,10.1%
United States,0,0,0,1,9,18,20,48,75,113,151,25.6%,9.8%
S. & Cent. America,0,0,0,0,1,2,5,13,21,32,46,,14.7%
Brazil,0,0,0,0,0,0,2,6,10,14,20,,23.3%
Europe ,0,0,0,5,25,28,37,53,65,83,109,43.1%,6.1%
EU,0,0,0,5,24,27,33,46,55,69,90,43.8%,5.4%
CIS,0,0,0,0,0,0,1,2,3,4,5,,16.2%
Russia,0,0,0,0,0,0,0,1,2,3,3,,15.0%
Middle East,0,0,0,0,0,1,13,35,60,78,101,,21.9%
Africa,0,0,0,0,1,1,6,15,28,47,79,,19.4%
Asia Pacific,0,0,0,2,22,49,103,184,287,410,554,44.0%,11.1%
China,0,0,0,0,10,24,58,101,156,213,272,55.0%,11.0%
India,0,0,0,0,1,5,17,42,73,117,172,57.3%,16.8%
Other,0,0,0,1,11,20,28,41,58,80,110,38.9%,7.8%
World,0,0,1,8,59,100,187,356,548,782,1064,34.6%,10.8%
OECD,0,0,1,7,45,64,82,139,192,268,358,32.0%,7.8%
Non-OECD,0,0,0,0,14,36,105,217,357,514,706,56.8%,13.8%
