Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,1,1,4,24,52,68,72,103,128,162,195,22.84,4.67
United States,1,1,4,22,44,58,60,86,107,137,164,22.07,4.61
S. & Cent. America,0,0,0,1,7,13,17,29,40,54,69,49.88,7.55
Brazil,0,0,0,0,5,10,13,20,27,35,44,0,6.79
Europe ,1,5,16,35,72,87,113,162,193,233,287,23.26,5.33
EU,1,5,16,34,69,82,104,148,174,210,255,22.93,5.06
CIS,0,0,0,0,0,0,2,5,9,13,17,0,23.67
Russia,0,0,0,0,0,0,1,3,5,7,9,0,27.82
Middle East,0,0,0,0,0,0,4,11,18,23,27,36.74,23.29
Africa,0,0,0,1,2,3,8,18,31,49,72,40.83,15.44
Asia Pacific,0,1,3,17,55,83,151,242,347,456,564,30.11,8.69
China,0,0,0,10,42,65,114,173,241,306,365,32.2,7.81
India,0,0,1,4,7,12,20,35,54,77,104,23.61,9.9
Other,0,0,1,3,6,6,17,34,53,73,95,44.18,12.5
World,2,7,24,77,188,254,367,569,766,990,1232,25.02,7.11
OECD,2,7,21,61,129,160,197,284,349,436,534,23.24,5.38
Non-OECD,0,1,2,16,60,94,171,285,417,554,698,30.8,9.12
