Billion cubit metres,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,685,728,713,776,949,952,1103,1239,1326,1398,1453,1.5,1.86
United States,503,519,489,575,740,735,889,996,1062,1101,1132,1.73,1.9
S. & Cent. America,78,103,141,164,181,179,182,200,229,248,265,3.85,1.72
Brazil,5,8,11,15,24,28,30,36,59,62,63,7.76,3.66
Europe ,266,309,328,309,261,261,245,225,196,175,159,-0.09,-2.13
EU,221,242,221,182,124,118,104,98,81,67,56,-2.82,-3.17
CIS,629,646,726,737,753,796,827,907,954,1025,1065,1.08,1.27
Russia,541,537,589,598,584,636,654,714,750,816,851,0.73,1.28
Middle East,140,206,314,482,608,660,670,770,885,971,1056,7.31,2.07
Africa,87,135,171,206,204,225,257,281,332,390,470,4.4,3.26
Asia Pacific,208,277,372,497,564,608,659,723,778,846,902,4.99,1.73
China,18,27,50,97,136,149,172,221,274,321,367,10.07,3.99
India,18,25,29,48,29,29,33,47,58,67,74,2.09,4.23
Other,172,225,294,352,399,430,454,455,447,458,461,4.25,0.3
World,2094,2406,2765,3169,3519,3680,3944,4346,4701,5053,5370,2.6,1.66
OECD,988,1077,1086,1147,1293,1335,1506,1630,1692,1761,1810,1.38,1.33
Non-OECD,1106,1328,1679,2022,2226,2346,2438,2716,3009,3292,3560,3.48,1.83
