Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,589,626,613,667,816,818,948,1066,1140,1202,1250,1.5,1.86
United States,433,446,421,495,637,632,764,857,913,946,973,1.73,1.9
S. & Cent. America,67,89,122,141,156,154,157,172,197,213,228,3.85,1.72
Brazil,5,7,10,13,21,24,26,31,50,53,54,7.76,3.66
Europe ,229,266,282,266,224,225,211,194,169,151,137,-0.09,-2.13
EU,190,208,190,156,107,101,89,84,69,58,48,-2.82,-3.17
CIS,540,555,624,633,647,685,711,780,820,881,916,1.08,1.27
Russia,465,462,507,515,503,546,563,614,644,702,732,0.73,1.28
Middle East,120,178,270,414,523,567,576,662,761,835,908,7.31,2.07
Africa,75,116,147,177,175,194,221,242,286,335,404,4.4,3.26
Asia Pacific,179,239,320,427,485,522,567,622,669,728,775,4.99,1.73
China,16,24,43,83,117,128,148,190,235,276,316,10.07,3.99
India,16,22,25,41,25,25,28,41,50,58,64,2.09,4.23
Other,148,193,253,303,343,370,391,391,384,394,396,4.25,0.3
World,1800,2068,2377,2725,3026,3165,3391,3737,4042,4344,4617,2.6,1.66
OECD,849,926,934,987,1112,1148,1295,1402,1455,1514,1556,1.38,1.33
Non-OECD,951,1142,1443,1739,1914,2017,2096,2335,2587,2831,3061,3.48,1.83
