Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,15,15,15,15,21,21,26,29,29,28,26,1.67,0.9
United States,9,9,8,9,14,14,19,22,22,21,19,1.97,1.32
S. & Cent. America,6,7,7,8,8,7,7,7,8,8,8,0.98,0.59
Brazil,1,1,2,2,3,3,3,4,4,5,5,6.17,2.34
Europe,7,7,6,4,4,4,4,4,3,3,3,-2.64,-1.7
EU,4,4,3,2,2,2,2,2,2,1,1,-3.52,-1.42
CIS,7,8,12,14,14,14,15,15,15,15,15,3.13,0.28
Russia,6,7,10,10,11,11,12,12,12,12,12,2.73,0.43
Middle East,20,24,26,26,30,32,31,31,33,35,37,2.08,0.67
Africa,7,8,10,10,8,8,8,7,7,7,7,0.69,-0.54
Asia Pacific,7,8,8,9,9,9,8,8,8,8,7,0.76,-0.86
China,3,3,4,4,5,4,4,4,4,4,4,1.75,-0.43
India,1,1,1,1,1,1,1,1,1,1,1,1.25,-0.9
Other,4,4,4,4,3,3,3,3,3,3,2,-0.41,-1.51
World,70,76,84,86,94,96,99,102,103,104,104,1.45,0.36
OECD,22,23,21,20,25,25,30,33,33,32,29,0.6,0.56
Non-OECD,47,54,63,66,69,70,69,69,70,72,75,1.81,0.29
