Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption India,252,317,394,538,687,754,860,1065,1300,1597,1928,5.1,4.17
Consumption Oil ,77,109,125,159,197,222,247,286,327,383,447,4.9,3.1
Consumption Gas,16,22,30,51,40,47,57,76,99,127,159,5.12,5.49
Consumption Coal,140,164,211,290,395,424,467,555,658,784,917,5.16,3.41
Consumption Nuclear,2,4,4,5,9,8,11,16,23,33,43,7.51,7.36
Consumption Hydro,17,17,22,25,30,31,34,43,49,53,56,2.67,2.62
Consumption Renewables,0,1,2,8,16,22,45,89,143,218,306,22.86,12.07
Consumption Oil (Mb/d),2,2,3,3,4,5,5,6,7,8,9,5.06,3.07
Consumption Gas (Bcm),18,25,34,59,46,54,66,88,115,148,185,5.12,5.49
Consumption by Transport,27,35,43,71,92,104,119,142,168,206,253,6.24,3.95
Consumption by Industry,125,163,208,284,351,382,442,562,693,837,990,5.22,4.23
Consumption by Non-combusted,19,26,30,36,47,50,56,68,80,96,114,4.52,3.68
Consumption by Buildings,82,93,113,147,196,218,243,293,358,459,571,4.57,4.27
Inputs to power,121,157,197,256,345,373,430,547,688,874,1087,5.25,4.76
Production Oil ,37,35,36,43,43,42,37,34,31,29,27,0.6,-1.83
Production Gas ,16,22,25,41,25,25,28,41,50,58,64,2.09,4.23
Production Coal,133,152,190,252,281,294,360,429,500,616,708,3.67,3.89
Production Oil (Mb/d),1,1,1,1,1,1,1,1,1,1,1,1.25,-0.9
Production Gas (Bcm),18,25,29,48,29,29,33,47,58,67,74,2.09,4.23
