Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption Middle East,352,415,554,714,848,897,956,1092,1215,1308,1391,4.34,1.93
Consumption Oil ,224,245,305,369,413,420,442,450,465,473,476,2.89,0.54
Consumption Gas,118,160,233,332,419,461,476,564,633,679,715,6.38,1.92
Consumption Coal,5,8,10,10,11,8,10,13,17,20,23,2.18,4.49
Consumption Nuclear,0,0,0,0,1,2,4,11,13,25,38,,14.73
Consumption Hydro,4,2,5,4,4,5,5,6,7,7,8,0.3,2.34
Consumption Renewables,0,0,0,0,1,1,18,48,81,104,132,48.47,22.05
Consumption Oil (Mb/d),5,5,6,8,9,9,10,10,11,11,11,3.25,0.74
Consumption Gas (Bcm),138,186,271,386,487,536,554,655,736,790,831,6.38,1.92
Consumption by Transport,86,97,123,151,185,187,195,210,220,226,230,3.59,0.89
Consumption by Industry,136,158,205,267,309,331,348,403,452,494,532,4.11,2.09
Consumption by Non-combusted,25,32,48,65,83,92,97,117,136,154,172,6.12,2.75
Consumption by Buildings,105,128,178,232,272,287,316,362,407,434,458,4.69,2.05
Inputs to power,109,129,183,246,288,309,335,391,446,484,521,4.84,2.3
Production Oil ,979,1149,1246,1242,1438,1511,1460,1475,1521,1628,1744,1.99,0.63
Production Gas ,120,178,270,414,523,567,576,662,761,835,908,7.31,2.07
Production Coal,1,1,1,1,1,1,1,1,1,0,0,0.51,-3.99
Production Oil (Mb/d),20,24,26,26,30,32,31,31,33,35,37,2.08,0.67
Production Gas (Bcm),140,206,314,482,608,660,670,770,885,971,1056,7.31,2.07
