Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption Russia,656,613,640,668,677,698,713,718,728,741,750,0.29,0.31
Consumption Oil ,154,126,129,138,150,153,158,158,161,164,166,-0.02,0.36
Consumption Gas,320,315,344,363,352,365,370,377,385,396,399,0.6,0.39
Consumption Coal,119,106,95,91,92,92,88,79,72,65,59,-1.16,-1.94
Consumption Nuclear,23,30,34,39,44,46,52,52,54,55,62,3.3,1.31
Consumption Hydro,40,37,39,38,38,41,42,45,46,46,46,0.18,0.48
Consumption Renewables,0,0,0,0,0,0,3,7,10,14,18,14.67,19.87
Consumption Oil (Mb/d),3,3,3,3,3,3,3,3,3,3,4,0.24,0.39
Consumption Gas (Bcm),372,366,400,423,410,425,431,439,448,461,464,0.6,0.39
Consumption by Transport,69,65,77,87,87,90,91,91,92,94,96,1.2,0.27
Consumption by Industry,382,363,385,375,378,382,385,377,374,374,372,0,-0.12
Consumption by Non-combusted,39,40,44,53,55,59,65,79,88,97,105,1.91,2.51
Consumption by Buildings,165,146,135,153,157,167,171,171,174,176,178,0.05,0.29
Inputs to power,263,259,274,284,288,291,302,300,306,314,322,0.47,0.44
Production Oil ,311,326,475,513,544,557,572,573,581,591,612,2.69,0.41
Production Gas ,465,462,507,515,503,546,563,614,644,702,732,0.73,1.28
Production Coal,125,122,136,151,186,206,213,214,218,216,216,2.32,0.21
Production Oil (Mb/d),6,7,10,10,11,11,12,12,12,12,12,2.73,0.43
Production Gas (Bcm),541,537,589,598,584,636,654,714,750,816,851,0.73,1.28
