Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,607,648,632,690,795,811,883,899,873,830,787,1.32,-0.13
United States,514,540,512,557,639,636,700,710,687,649,612,0.97,-0.17
S. & Cent. America,67,84,109,129,154,149,154,168,180,188,195,3.73,1.18
Brazil,5,8,18,24,38,33,36,40,45,49,53,9.39,2.05
Europe ,410,480,540,535,435,483,493,467,424,389,356,0.75,-1.32
EU,334,396,446,448,359,401,407,377,331,294,263,0.84,-1.82
CIS,392,390,433,459,463,468,468,461,450,439,422,0.81,-0.45
Russia,320,315,344,363,352,365,365,357,346,335,321,0.6,-0.56
Middle East,118,160,233,332,419,461,455,496,513,519,519,6.38,0.51
Africa,40,48,71,88,111,122,141,168,196,229,262,5.24,3.39
Asia Pacific,183,256,350,497,611,662,899,1197,1422,1596,1803,6.02,4.45
China,15,21,40,94,167,207,341,519,663,755,814,12.54,6.14
India,16,22,30,51,40,47,118,208,277,335,387,5.12,9.64
Other,152,213,280,352,403,408,441,470,482,505,601,4.6,1.7
World,1816,2065,2368,2731,2987,3156,3493,3857,4058,4189,4343,2.54,1.4
OECD,1097,1233,1292,1382,1411,1477,1586,1598,1538,1458,1377,1.36,-0.3
Non-OECD,719,833,1075,1349,1576,1679,1907,2259,2520,2730,2966,3.93,2.5
