Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,152,150,148,146,149,164,174,176,178,183,189,0.34,0.61
United States,70,62,60,58,56,67,64,63,64,68,72,-0.22,0.32
S. & Cent. America,105,126,141,159,152,162,196,222,236,245,254,1.98,1.97
Brazil,57,69,76,91,81,84,100,110,115,119,123,1.72,1.7
Europe ,128,140,129,147,144,132,137,143,147,151,154,0.16,0.67
EU,75,82,71,85,77,68,68,71,74,76,79,-0.46,0.67
CIS,50,47,51,50,50,55,68,75,78,80,82,0.43,1.76
Russia,40,37,39,38,38,41,46,49,51,51,51,0.18,0.9
Middle East,4,2,5,4,4,5,6,7,7,8,8,,2.76
Africa,14,17,20,24,27,29,44,61,72,80,88,3.54,4.92
Asia Pacific,110,119,165,248,354,372,515,580,613,624,628,5.68,2.3
China,43,50,90,161,252,262,374,408,424,424,413,8.54,2.01
India,17,17,22,25,30,31,48,59,64,62,62,2.67,3.09
Other,50,51,53,62,72,79,93,113,125,138,153,2.14,2.89
World,563,601,660,777,881,919,1140,1263,1332,1371,1403,2.25,1.86
OECD,309,320,305,322,321,324,340,348,352,362,373,0.21,0.62
Non-OECD,254,281,355,455,559,595,800,915,980,1009,1030,3.94,2.41
