Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,184,198,209,214,215,216,212,190,184,186,186,0.73,-0.64
United States,160,180,186,192,190,192,188,172,164,164,164,0.81,-0.67
S. & Cent. America,2,3,4,5,5,5,6,6,10,14,19,3.86,5.89
Brazil,1,1,2,3,3,4,3,3,6,8,11,8.7,5.21
Europe ,221,237,251,234,219,212,224,202,225,242,238,-0.19,0.5
EU,200,214,226,207,194,188,197,175,195,206,200,-0.27,0.27
CIS,23,30,34,39,45,47,54,57,59,61,69,3.34,1.74
Russia,23,30,34,39,44,46,52,52,54,55,62,3.3,1.31
Middle East,0,0,0,0,1,2,4,11,13,27,42,0,15.3
Africa,3,3,3,3,3,4,3,3,3,6,12,1.52,5.46
Asia Pacific,93,113,125,132,95,112,170,227,270,354,446,0.85,6.2
China,3,4,12,17,39,56,90,121,166,234,307,14.41,7.66
India,2,4,4,5,9,8,11,16,23,36,50,7.5,8.02
Other,88,106,109,110,48,47,70,91,81,84,89,-2.81,2.81
World,526,584,627,626,583,596,673,696,764,889,1012,0.58,2.33
OECD,485,532,560,547,473,468,496,470,479,497,493,-0.17,0.23
Non-OECD,40,52,66,79,110,128,177,226,284,392,519,5.43,6.26
