Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,21,24,25,23,23,23,23,22,20,18,16,0.38,-1.68
United States,18,20,21,18,18,19,19,18,16,15,13,0.28,-1.74
S. & Cent. America,4,5,5,6,6,6,6,6,6,6,6,1.73,0.1
Brazil,2,2,2,2,3,2,3,3,3,3,3,2.11,0.54
Europe ,16,16,17,15,14,15,14,13,11,10,8,-0.28,-2.69
EU,14,15,15,14,12,13,12,11,9,8,6,-0.44,-3.1
CIS,4,3,3,4,4,4,4,4,4,4,4,0.24,-0.02
Russia,3,3,3,3,3,3,3,3,3,3,3,0.24,-0.27
Middle East,5,5,6,8,9,9,9,9,9,9,9,3.25,-0.27
Africa,2,2,3,3,4,4,4,4,4,5,5,2.85,1.06
Asia Pacific,18,21,25,28,32,34,35,36,36,36,34,2.93,-0.07
China,3,5,7,9,12,13,14,14,14,13,12,6.27,-0.41
India,2,2,3,3,4,5,5,5,6,6,7,5.06,1.82
Other,13,14,15,15,16,17,17,17,16,16,15,1.11,-0.5
World,70,76,84,87,93,96,96,95,92,88,82,1.43,-0.7
OECD,46,49,50,46,45,46,45,43,39,34,29,0.02,-2.01
Non-OECD,24,28,34,41,48,50,50,52,53,54,53,3.31,0.25
