Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,21,23,33,74,119,148,259,440,556,655,776,9.27,7.48
United States,18,20,29,67,105,132,231,388,485,565,662,9.49,7.27
S. & Cent. America,9,9,14,31,47,55,63,92,124,164,206,8.39,5.89
Brazil,8,8,12,25,35,41,44,57,71,89,106,7.6,4.27
Europe ,7,15,38,82,156,176,285,417,461,513,585,15.75,5.35
EU,7,15,37,80,149,166,257,357,376,405,447,15.67,4.39
CIS,0,0,0,0,0,0,24,66,102,136,168,17.69,29
Russia,0,0,0,0,0,0,18,47,70,92,110,14.67,29.82
Middle East,0,0,0,0,1,1,68,156,239,311,388,48.47,27.9
Africa,0,1,1,1,4,6,32,79,133,204,307,15.98,19.02
Asia Pacific,7,11,18,45,123,184,534,1009,1487,1906,2278,15.92,11.56
China,1,1,2,17,67,109,278,500,730,917,1083,24.86,10.5
India,0,1,2,8,16,22,87,186,284,392,522,22.86,14.7
Other,6,9,13,20,40,53,170,323,472,597,673,10.35,11.68
World,45,59,103,234,449,571,1265,2258,3102,3889,4708,12.26,9.61
OECD,32,44,79,169,300,359,644,1026,1245,1444,1686,11.59,6.96
Non-OECD,13,16,25,66,149,212,621,1232,1857,2446,3022,13.67,12.2%
