Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,0,0,0,1,10,18,62,138,195,254,337,25.81,13.46
United States,0,0,0,1,9,18,56,121,169,216,284,25.63,12.85
S. & Cent. America,0,0,0,0,1,2,6,15,28,45,68,,16.65
Brazil,0,0,0,0,0,0,2,5,10,17,25,,24.6
Europe ,0,0,0,5,25,28,55,92,108,132,173,43.11,8.19
EU,0,0,0,5,24,27,50,78,87,103,131,43.75,7.09
CIS,0,0,0,0,0,0,5,15,25,36,49,,27.86
Russia,0,0,0,0,0,0,4,12,18,26,33,,27.53
Middle East,0,0,0,0,0,1,30,72,116,159,215,,26
Africa,0,0,0,0,1,1,12,30,55,91,156,,22.95
Asia Pacific,0,0,0,2,22,49,157,318,504,698,917,44.02,13.59
China,0,0,0,0,10,24,70,138,221,302,389,55.03,12.78
India,0,0,0,0,1,5,33,79,131,193,276,57.31,19.18
Other,0,0,0,1,11,20,54,100,152,204,252,38.9,11.76
World,0,0,1,8,59,100,326,680,1031,1416,1916,34.6,13.69
OECD,0,0,1,7,45,64,156,293,391,497,656,31.99,10.63
Non-OECD,0,0,0,0,14,36,170,387,641,919,1259,56.78,16.73
