Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
North America,1,1,4,24,52,68,118,188,226,254,287,22.8%,6.5%
United States,1,1,4,22,44,58,104,168,201,225,253,22.1%,6.6%
S. & Cent. America,0,0,0,1,7,13,18,29,42,56,71,49.9%,7.7%
Brazil,0,0,0,0,5,10,12,18,25,32,41,,6.4%
Europe ,1,5,16,35,72,87,146,214,236,258,290,23.3%,5.4%
EU,1,5,16,34,69,82,128,178,186,197,214,22.9%,4.3%
CIS,0,0,0,0,0,0,17,47,71,92,110,,34.1%
Russia,0,0,0,0,0,0,13,34,49,62,71,,39.9%
Middle East,0,0,0,0,0,0,32,71,105,131,150,36.7%,32.8%
Africa,0,0,0,1,2,3,17,40,65,94,126,40.8%,18.3%
Asia Pacific,0,1,3,17,55,83,282,537,780,969,1110,30.1%,11.9%
China,0,0,0,10,42,65,168,297,424,518,593,32.2%,10.1%
India,0,0,1,4,7,12,45,92,134,174,215,23.6%,13.4%
Other,0,0,1,3,6,6,69,149,222,277,301,44.2%,18.3%
World,2,7,24,77,188,254,629,1127,1524,1854,2145,25.0%,9.7%
OECD,2,7,21,61,129,160,300,471,556,624,701,23.2%,6.6%
Non-OECD,0,1,2,16,60,94,329,656,968,1230,1443,30.8%,12.6%
