Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption Africa,243,273,327,387,429,449,484,572,673,801,967,2.8%,3.4%
Consumption Oil ,108,122,142,170,189,196,193,205,218,236,254,2.8%,1.1%
Consumption Gas,40,48,71,88,111,122,141,168,196,229,262,5.2%,3.4%
Consumption Coal,79,83,89,100,95,93,72,55,49,47,44,0.7%,-3.2%
Consumption Nuclear,3,3,3,3,3,4,3,3,3,6,12,1.5%,5.5%
Consumption Hydro,14,17,20,24,27,29,44,61,72,80,88,3.5%,4.9%
Consumption Renewables,0,1,1,1,4,6,32,79,133,204,307,16.0%,19.0%
Consumption Oil (Mb/d),2,2,3,3,4,4,4,4,4,5,5,2.9%,1.1%
Consumption Gas (Bcm),46,56,83,103,130,142,164,195,228,266,305,5.2%,3.4%
Consumption Transport,59,68,79,99,116,126,134,149,162,182,204,3.5%,2.1%
Consumption Industry,111,123,148,170,175,178,189,225,269,323,398,2.2%,3.6%
Consumption Non-combusted,14,17,16,18,18,20,21,25,30,37,47,1.6%,3.9%
Consumption Buildings,59,66,83,100,121,125,140,172,212,260,318,3.5%,4.1%
Inputs to power,98,113,128,155,178,185,205,256,322,409,526,3.0%,4.7%
