Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption Brazil,157,188,210,264,299,294,321,357,387,418,437,2.9%,1.7%
Consumption Oil ,75,89,89,106,124,117,120,131,135,140,134,2.1%,0.6%
Consumption Gas,5,8,18,24,38,33,36,40,45,49,53,9.4%,2.1%
Consumption Coal,12,13,13,14,18,17,17,16,15,12,10,1.5%,-2.4%
Consumption Nuclear,1,1,2,3,3,4,3,3,6,8,11,8.7%,5.2%
Consumption Hydro,57,69,76,91,81,84,100,110,115,119,123,1.7%,1.7%
Consumption Renewables,8,8,12,25,35,41,44,57,71,89,106,7.6%,4.3%
Consumption Oil (Mb/d),2,2,2,2,3,2,3,3,3,3,3,2.1%,0.5%
Consumption Gas (Bcm),5,10,20,28,44,38,41,47,52,57,61,9.4%,2.1%
Consumption Transport,43,52,58,79,94,93,99,111,120,133,137,3.6%,1.7%
Consumption Industry,66,78,91,108,116,114,124,138,148,153,154,2.5%,1.3%
Consumption Non-combusted,10,11,10,15,13,12,12,14,15,17,18,0.9%,1.9%
Consumption Buildings,38,48,51,62,76,75,85,94,105,116,128,3.1%,2.3%
Inputs to power,63,80,91,115,130,130,149,168,189,212,238,3.4%,2.7%
