Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption China,891,1011,1803,2491,3010,3132,3395,3563,3651,3701,3700,5.9%,0.7%
Consumption Oil ,163,229,334,454,571,606,651,676,674,645,561,6.1%,-0.3%
Consumption Gas,15,21,40,94,167,207,341,519,663,755,814,12.5%,6.1%
Consumption Coal,665,706,1325,1749,1914,1893,1662,1339,994,726,523,4.9%,-5.4%
Consumption Nuclear,3,4,12,17,39,56,90,121,166,234,307,14.4%,7.7%
Consumption Hydro,43,50,90,161,252,262,374,408,424,424,413,8.5%,2.0%
Consumption Renewables,1,1,2,17,67,109,278,500,730,917,1083,24.9%,10.5%
Consumption Oil (Mb/d),3,5,7,9,12,13,14,14,14,13,12,6.3%,-0.4%
Consumption Gas (Bcm),18,25,47,109,195,240,397,603,771,878,947,12.5%,6.1%
Consumption Transport,49,98,159,239,338,363,412,460,497,537,558,9.5%,1.9%
Consumption Industry,597,660,1227,1695,1932,1947,2077,2084,2020,1915,1783,5.5%,-0.4%
Consumption Non-combusted,42,55,79,125,162,176,202,240,266,286,298,6.8%,2.3%
Consumption Buildings,203,199,338,433,577,646,704,779,867,963,1061,5.4%,2.2%
Inputs to power,275,362,724,1034,1351,1456,1649,1821,1981,2153,2339,7.9%,2.1%
