Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption EU,1678,1748,1836,1775,1649,1689,1674,1590,1474,1388,1302,0.0%,-1.1%
Consumption Oil ,699,721,741,674,608,631,600,542,463,392,310,-0.5%,-3.1%
Consumption Gas,334,396,446,448,359,401,407,377,331,294,263,0.8%,-1.8%
Consumption Coal,363,321,316,280,262,234,145,69,35,15,2,-2.0%,-18.1%
Consumption Nuclear,200,214,226,207,194,188,197,175,195,206,200,-0.3%,0.3%
Consumption Hydro,75,82,71,85,77,68,68,71,74,76,79,-0.5%,0.7%
Consumption Renewables,7,15,37,80,149,166,257,357,376,405,447,15.7%,4.4%
Consumption Oil (Mb/d),14,15,15,14,12,13,12,11,9,8,6,-0.4%,-3.1%
Consumption Gas (Bcm),389,460,518,521,418,467,474,438,385,343,306,0.8%,-1.8%
Consumption Transport,348,392,425,428,409,431,438,421,390,397,401,1.0%,-0.3%
Consumption Industry,661,666,671,602,561,563,556,525,480,425,373,-0.7%,-1.8%
Consumption Non-combusted,106,111,108,94,81,83,82,78,73,67,61,-1.1%,-1.3%
Consumption Buildings,563,580,632,651,598,613,598,567,531,498,467,0.4%,-1.2%
Inputs to power,631,667,724,724,702,701,724,733,729,749,780,0.5%,0.5%
