Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption India,252,317,394,538,687,754,828,987,1168,1367,1588,5.1%,3.3%
Consumption Oil ,77,109,125,159,197,222,236,260,284,312,343,4.9%,1.9%
Consumption Gas,16,22,30,51,40,47,118,208,277,335,387,5.1%,9.6%
Consumption Coal,140,164,211,290,395,424,328,258,237,230,224,5.2%,-2.7%
Consumption Nuclear,2,4,4,5,9,8,11,16,23,36,50,7.5%,8.0%
Consumption Hydro,17,17,22,25,30,31,48,59,64,62,62,2.7%,3.1%
Consumption Renewables,0,1,2,8,16,22,87,186,284,392,522,22.9%,14.7%
Consumption Oil (Mb/d),2,2,3,3,4,5,5,5,6,6,7,5.1%,1.8%
Consumption Gas (Bcm),18,25,34,59,46,54,137,242,322,390,450,5.1%,9.6%
Consumption Transport,27,35,43,71,92,104,116,132,148,176,222,6.2%,3.4%
Consumption Industry,125,163,208,284,351,382,421,511,608,698,778,5.2%,3.1%
Consumption Non-combusted,19,26,30,36,47,50,56,68,80,96,114,4.5%,3.7%
Consumption Buildings,82,93,113,147,196,218,235,277,332,398,475,4.6%,3.4%
Inputs to power,121,157,197,256,345,373,409,505,628,769,937,5.3%,4.1%
