Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption Middle East,352,415,554,714,848,897,932,1065,1176,1268,1343,4.3%,1.8%
Consumption Oil ,224,245,305,369,413,420,390,384,393,393,378,2.9%,-0.5%
Consumption Gas,118,160,233,332,419,461,455,496,513,519,519,6.4%,0.5%
Consumption Coal,5,8,10,10,11,8,10,11,11,10,8,2.2%,-0.5%
Consumption Nuclear,0,0,0,0,1,2,4,11,13,27,42,0.0%,15.3%
Consumption Hydro,4,2,5,4,4,5,6,7,7,8,8,0.3%,2.8%
Consumption Renewables,0,0,0,0,1,1,68,156,239,311,388,48.5%,27.9%
Consumption Oil (Mbd),5,5,6,8,9,9,9,9,9,9,9,3.3%,-0.3%
Consumption Gas (Bcm),138,186,271,386,487,536,530,577,596,604,603,6.4%,0.5%
Consumption Transport,86,97,123,151,185,187,195,210,216,218,209,3.6%,0.5%
Consumption Industry,136,158,205,267,309,331,340,390,431,456,473,4.1%,1.6%
Consumption Non-combusted,25,32,48,65,83,92,97,117,136,154,172,6.1%,2.8%
Consumption Inputs to power,109,129,183,246,288,309,322,392,457,525,599,4.8%,2.9%
