Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption Russia,656,613,640,668,677,698,705,707,711,714,713,0.3%,0.1%
Consumption Oil ,154,126,129,138,150,153,153,152,152,151,145,0.0%,-0.2%
Consumption Gas,320,315,344,363,352,365,365,357,346,335,321,0.6%,-0.6%
Consumption Coal,119,106,95,91,92,92,71,50,38,30,24,-1.2%,-5.7%
Consumption Nuclear,23,30,34,39,44,46,52,52,54,55,62,3.3%,1.3%
Consumption Hydro,40,37,39,38,38,41,46,49,51,51,51,0.2%,0.9%
Consumption Renewables,0,0,0,0,0,0,18,47,70,92,110,14.7%,29.8%
Consumption Oil (Mb/d),3,3,3,3,3,3,3,3,3,3,3,0.2%,-0.3%
Consumption Gas (Bcm),372,366,400,423,410,425,425,415,402,390,374,0.6%,-0.6%
Consumption Transport,69,65,77,87,87,90,91,90,90,90,88,1.2%,-0.1%
Consumption Industry,382,363,385,375,378,382,378,363,353,344,334,0.0%,-0.6%
Consumption Non-combusted,39,40,44,53,55,59,65,79,88,97,105,1.9%,2.5%
Consumption Buildings,165,146,135,153,157,167,172,175,179,183,186,0.1%,0.5%
Inputs to power,263,259,274,284,288,291,298,299,307,315,325,0.5%,0.5%
