Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption United States,2070,2260,2301,2236,2227,2235,2246,2225,2176,2128,2075,0.3%,-0.3%
Consumption Oil ,827,918,968,862,864,876,873,818,748,673,563,0.3%,-1.9%
Consumption Gas,514,540,512,557,639,636,700,710,687,649,612,1.0%,-0.2%
Consumption Coal,481,541,546,499,372,332,191,73,28,10,2,-1.7%,-19.3%
Consumption Nuclear,160,180,186,192,190,192,188,172,164,164,164,0.8%,-0.7%
Consumption Hydro,70,62,60,58,56,67,64,63,64,68,72,-0.2%,0.3%
Consumption Renewables,18,20,29,67,105,132,231,388,485,565,662,9.5%,7.3%
Consumption Oil (Mb/d),18,20,21,18,18,19,19,18,16,15,13,0.3%,-1.7%
Consumption Gas (Bcm),598,628,595,648,744,739,814,826,798,755,711,1.0%,-0.2%
Consumption Transport,557,627,668,640,659,670,669,647,608,571,527,0.8%,-1.0%
Consumption Industry,677,713,628,608,600,594,592,578,551,519,488,-0.6%,-0.9%
Consumption Non-combusted,107,116,115,107,113,116,132,138,142,146,149,0.4%,1.1%
Consumption Buildings,729,804,891,881,856,855,853,861,875,892,912,0.7%,0.3%
Inputs to power,829,926,958,946,908,912,920,944,974,1014,1092,0.4%,0.8%
