Area,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040
Consumption World,8565,9356,10894,12119,13060,13511,14064,14773,15315,15868,16390,2.1%,0.8%
Consumption Oil ,3391,3691,4030,4145,4396,4538,4505,4463,4335,4169,3845,1.3%,-0.7%
Consumption Gas,1816,2065,2368,2731,2987,3156,3493,3857,4058,4189,4343,2.5%,1.4%
Consumption Coal,2224,2356,3106,3606,3765,3731,2988,2237,1725,1360,1079,2.4%,-5.3%
Consumption Nuclear,526,584,627,626,583,596,673,696,764,889,1012,0.6%,2.3%
Consumption Hydro,563,601,660,777,881,919,1140,1263,1332,1371,1403,2.3%,1.9%
Consumption Renewables,45,59,103,234,449,571,1265,2258,3102,3889,4708,12.3%,9.6%
Consumption Oil (Mb/d),70,76,84,87,93,96,96,95,92,88,82,1.4%,-0.7%
Consumption Gas (Bcm),2112,2402,2754,3176,3474,3670,4062,4486,4719,4871,5051,2.5%,1.4%
Consumption Transport,1700,1944,2209,2438,2692,2817,2940,3074,3114,3227,3294,2.3%,0.7%
Consumption Industry,3760,4023,4745,5353,5729,5853,6060,6283,6400,6420,6429,2.0%,0.4%
Consumption Non-combusted,510,580,654,730,811,856,926,1025,1107,1186,1263,2.4%,1.7%
Consumption Buildings,2595,2809,3286,3598,3828,3985,4138,4391,4695,5036,5405,2.0%,1.3%
Inputs to power,3236,3671,4393,5000,5528,5751,6154,6762,7412,8177,9109,2.7%,2.0%
